date,Italy,France,Estonia,Serbia,Spain,Chile,Lithuania,Costa Rica,Latvia,Syrian Arab Republic,Morocco,Croatia,Slovenia,Lebanon,Rwanda,South Africa,Eritrea,Israel,Malaysia,Namibia,Mauritius,Argentina,Zimbabwe,Somalia,Cameroon,"Korea, Rep.",Zambia,Panama,Guinea,Colombia,Singapore,"Korea, Dem. People's Rep.","Venezuela, RB",Nigeria,Ethiopia,Burkina Faso,Lao PDR,Bolivia,Senegal,Botswana,Uganda,Ghana,El Salvador,Comoros,Ecuador,Sierra Leone,Mozambique,Guinea-Bissau,Sao Tome and Principe,Guatemala,Indonesia,Brazil,Cote d'Ivoire,Tanzania,Benin,Angola,Malawi,Myanmar,"Gambia, The",Cambodia,Nicaragua,Paraguay,Northern Mariana Islands
2000,28,28,53,28,34,21,32,56,52,2,12,34,61,14,12,15,11,7,60,10,21,12,47,12,46,67,63,60,28,57,25,54,56,27,19,26,75,51,46,31,16,39,33,22,55,41,52,76,61,39,56,66,16,61,37,62,33,53,35,61,45,58,69
2001,29,28,53,28,35,21,32,56,52,2,12,34,61,13,12,15,11,7,60,10,20,12,47,12,46,67,63,60,28,56,26,53,56,27,18,26,75,51,46,31,16,38,32,22,55,40,52,76,61,39,56,65,16,60,36,62,32,53,35,61,44,57,69
2002,29,28,53,28,35,22,33,56,53,2,12,34,61,13,11,15,11,7,59,10,20,12,47,12,45,67,63,59,28,56,25,53,55,27,18,26,75,50,46,31,15,38,32,22,55,40,52,76,61,38,56,65,15,60,36,61,32,52,34,61,43,56,69
2003,29,29,54,28,35,22,33,56,53,2,12,34,61,13,11,15,11,7,59,10,20,12,47,12,45,67,63,59,28,56,25,53,55,27,18,26,75,50,45,30,15,38,32,22,54,40,52,76,61,38,56,65,15,59,35,61,31,52,34,61,42,55,68
2004,29,29,54,28,35,22,33,56,53,2,12,34,61,13,11,15,11,7,59,9,20,12,47,11,45,67,63,59,28,56,25,53,55,27,16,26,75,50,45,30,15,37,32,21,54,39,51,75,61,37,56,64,15,59,35,61,31,51,33,61,41,54,68
2005,30,29,54,28,36,22,33,56,53,3,13,34,62,13,11,15,11,7,59,9,20,12,47,11,45,66,63,59,27,56,25,53,55,26,16,25,74,50,45,30,15,37,31,21,54,39,51,75,61,37,55,64,14,58,34,60,30,51,32,61,40,54,68
2006,30,29,54,30,36,22,34,56,53,3,13,34,62,13,11,14,11,7,59,9,20,12,47,11,45,66,63,59,27,56,25,53,55,26,16,25,74,50,45,30,15,36,31,21,54,39,51,75,61,37,55,63,14,58,34,60,30,50,32,60,39,53,67
2007,30,29,54,30,36,22,34,56,54,3,13,34,62,13,11,14,11,7,58,9,19,11,47,11,45,66,63,59,27,55,25,52,54,26,16,25,74,50,45,30,14,36,31,21,53,39,50,74,61,36,55,63,14,58,34,59,30,50,31,60,38,52,67
2008,30,30,55,30,37,22,34,56,54,3,13,34,62,13,11,14,11,7,58,9,19,11,47,11,45,66,63,59,27,55,25,52,54,26,16,25,74,49,44,29,14,36,31,21,53,38,50,74,61,36,55,62,13,57,33,59,29,49,31,60,37,51,67
2009,30,30,55,31,37,22,34,56,54,3,13,34,62,13,11,14,11,7,58,9,19,11,46,11,44,66,63,58,27,55,25,52,54,26,16,25,74,49,44,29,14,35,31,20,53,38,50,74,61,35,55,62,13,57,33,58,29,49,30,60,36,50,66
2010,31,30,55,31,37,22,35,56,54,3,13,34,62,13,11,14,11,7,58,9,19,11,46,11,44,66,63,58,27,55,25,52,54,26,16,25,73,49,44,29,14,35,30,20,52,38,50,73,61,35,55,61,12,56,32,58,28,48,30,60,35,49,66
2011,31,30,56,31,37,23,35,57,54,3,13,34,62,13,11,14,11,7,58,9,19,11,46,11,44,66,63,58,27,55,25,52,54,25,16,24,73,49,44,29,14,35,30,20,52,38,49,73,60,34,55,61,12,56,32,57,28,48,29,58,34,48,66
2012,31,30,56,31,37,23,35,57,54,3,13,34,62,14,11,14,11,7,58,9,19,11,46,11,44,65,62,58,26,55,24,51,53,25,16,24,73,49,44,29,13,35,30,20,52,37,49,73,59,34,54,61,12,56,31,57,27,47,29,56,34,47,65
2013,31,30,55,31,37,23,35,57,54,3,13,34,62,14,11,14,11,7,59,9,19,11,46,10,44,65,62,58,26,54,24,51,53,25,16,24,73,48,43,28,13,35,30,19,52,37,49,73,59,34,53,61,11,55,31,57,27,47,28,54,33,46,65
2014,31,31,55,31,37,23,35,58,55,3,13,34,62,14,11,14,11,8,59,9,19,11,46,10,44,65,62,58,26,54,24,51,53,25,16,24,73,48,43,28,13,35,29,19,52,37,49,72,58,34,53,60,11,55,30,56,26,46,27,52,33,45,64
2015,32,31,56,31,37,24,35,58,55,3,13,34,62,14,11,14,11,8,59,8,19,11,46,10,44,65,62,58,26,54,23,51,53,25,15,24,73,48,43,28,13,35,29,19,52,36,48,72,57,33,52,60,11,54,30,56,26,46,27,50,32,44,64
2016,32,31,56,31,37,24,35,58,55,3,13,34,62,14,11,14,11,6,59,8,19,11,46,10,44,65,61,57,26,54,23,51,53,24,15,23,73,48,43,28,12,35,29,19,51,36,48,72,57,33,51,60,10,54,30,55,26,45,26,49,32,44,53
2017,32,31,56,31,37,24,35,58,55,3,13,34,62,14,11,14,11,6,59,8,19,11,45,10,43,65,61,57,26,54,23,51,53,24,15,23,72,48,43,28,12,35,29,18,51,36,48,71,56,33,50,60,10,53,29,55,25,45,26,48,31,43,53
2018,32,31,56,31,37,24,35,59,55,3,13,34,62,14,11,14,11,6,58,8,19,11,45,10,43,65,61,57,26,54,22,50,53,24,15,23,72,47,42,27,12,35,29,18,51,36,47,71,55,33,50,60,10,53,29,54,25,45,25,47,30,42,53
